1,0,0,,頂昇機構,
1,1,0,N,頂起貨架,先使用上視 PGV 對位，然後將頂昇機構頂起
1,2,0,N,放下貨架,如果機構處於有貨的狀態則將頂昇機構放下
1,12,0,N,無對位頂起貨架,只執行動作，直接將頂昇機構頂起
1,13,0,N,直接放下貨架,只執行動作，直接將頂昇機構放下
2,0,0,,雙層輥筒,
2,11,X,N,取貨,第 [參數1] 層輥台取貨，只有當兩個光電傳感器都接收到信號才停止，並且表示取貨完成
2,12,X,N,放貨,第 [參數1] 層輥台放貨，當兩個傳感器都檢測不到貨物後延時2s，輥台停止運行
2,14,X,N,對側取貨,第 [參數1] 層取貨，從另一側取貨
2,15,X,N,對側放貨,第 [參數1] 層放貨，從另一側放貨
2,31,1,N,左邊同時取貨,從左邊兩個同時取貨
2,32,1,N,右邊同時取貨,從右邊兩個同時取貨
2,33,1,N,左邊同時放貨,從左邊兩個同時放貨
2,34,1,N,右邊同時放貨,從右邊兩個同時放貨
2,35,1,N,左1取2放,從左邊1號取貨，2號放貨
2,36,1,N,右1取2放,從右邊1號取貨，2號放貨
2,37,1,N,左1放2取,從左邊1號放貨，2號取貨
2,38,1,N,右1放2取,從右邊1號放貨，2號取貨
3,0,0,,華為測試線雙排輥筒,
3,1,X,N,右側取貨,第 [參數1] 排從右側取貨
3,2,X,N,右側放貨,第 [參數1] 排從右側放貨
3,3,X,N,左側取貨,第 [參數1] 排從左側取貨
3,4,X,N,左側放貨,第 [參數1] 排從左側放貨
4,0,0,,頂升旋轉機構,
4,1,0,N,頂升,直接將頂升升到 30mm 處，將物體頂起
4,2,0,N,放下,將頂昇機構降到 0mm 處,然後旋轉轉盤到 0 度位置
4,13,0,N,開啟同步旋轉,開啟同步旋轉功能，只能在 AGV 處於空閒的時候發送
4,14,0,N,關閉同步旋轉,關閉掉同步旋轉功能，只能在 AGV 處於空閒時發送
5,0,0,,Aeropod動作機構,
5,12,X,N,移動,控制推桿移動 [參數1] mm
5,13,X,N,爬升,控制AGV爬升 [參數1] mm
5,14,X,N,伸縮,控制 AGV 取放貨平台伸縮 [參數1] mm，往右邊時取值 0-580，往左邊時取值 1580-1000，其中千位上的 1 表示負值
6,0,0,,華為無塵車間單軸機械手,
6,1,0,N,伸出取貨,將推桿伸出準備取貨，採用光通信協議對接
6,2,0,N,伸出放貨,將推桿伸出準備放貨
6,3,0,N,縮回歸位,將推桿縮回到0
7,0,0,,二維碼二次矯正,
7,1,0,N,二維碼二次矯正,當agv移動到該站點之後，需要根據地面的二維碼二次矯正位置提高對接精度
8,0,0,,華為ODU單層輥筒,
8,1,0,N,左邊取貨,從AGV後面看AGV，從左邊取貨，需要光通信協議對接
8,2,0,N,左邊放貨,從AGV後面看AGV，從左邊放貨，需要光通信協議對接
8,3,0,N,右邊取貨,從AGV後面看AGV，從右邊取貨，需要光通信協議對接
8,4,0,N,右邊放貨,從AGV後面看AGV，從右邊放貨，需要光通信協議對接
65,0,0,,設置GPIO輸出,
65,X,0,N,GPIO輸出,設置GPIO輸出為 [參數0]
66,0,0,,設置GPIO輸出（延時）,
66,X,Y,N,帶恢復GPIO輸出,設置GPIO輸出為 [參數0]，[參數1] 秒後恢復原值
129,0,0,,等待一定時間,
129,X,0,N,定時等待,等待 [參數0] 秒後自動結束
130,0,0,,等待IO信號觸發後結束,
130,X,Y,N,等待IO觸發,當輸入的IO信號 [參數0] 點位值為 [參數1] 時結束動作任務
131,0,0,,等待特定指令後結束,
131,X,0,N,等待指令,接收到參數為 [參數0] 的特定指令後結束動作任務
78,0,0,,充電任務,
78,1,0,N,開始充電,開始充電
78,2,0,N,結束充電,結束充電
